content_category,mean_er_all,mean_er_no_outliers,n_outliers
Beauty,15.664385370809347,9.958704875325642,266.0
Comedy,14.396149152542373,9.60530303030303,244.0
Fashion,14.523533289386949,9.926088054853844,263.0
Fitness,13.948751664447405,9.687223032069971,260.0
Food,13.988710963455151,10.229287000360102,233.0
Lifestyle,14.692104739807757,10.08432955791012,280.0
Music,14.48806193806194,9.905567234505256,244.0
Photography,14.816510708401976,9.966915241906147,286.0
Technology,13.927649586776859,10.040108303249097,255.0
Travel,13.757692048517518,10.062720641867251,226.0
