media_type,content_category,caption_length,hashtags_count,content_id
Reel,Technology,1340,3,1
Photo,Fitness,1351,20,2
Reel,Beauty,242,24,3
Reel,Music,446,11,4
Video,Technology,1905,8,5
Carousel,Photography,1448,12,6
Carousel,Food,904,21,7
Carousel,Technology,400,27,8
Photo,Beauty,236,13,9
Photo,Music,1219,29,10
Video,Fitness,1521,22,11
Reel,Beauty,164,4,12
Reel,Beauty,368,20,13
Video,Food,1205,21,14
Reel,Lifestyle,539,10,15
Reel,Music,739,12,16
Photo,Travel,166,24,17
Reel,Beauty,1979,7,18
Photo,Lifestyle,2062,27,19
Carousel,Travel,732,8,20
Carousel,Music,111,19,21
Photo,Fashion,401,2,22
Photo,Photography,999,13,23
Photo,Lifestyle,1377,1,24
Carousel,Comedy,371,1,25
Video,Fashion,1067,29,26
Carousel,Photography,155,9,27
Video,Food,338,21,28
Photo,Technology,2016,26,29
Reel,Fitness,1512,3,30
Video,Comedy,1844,12,31
Carousel,Food,1107,29,32
Reel,Music,984,21,33
Photo,Food,781,27,34
Photo,Technology,1597,8,35
Video,Music,1824,16,36
Reel,Comedy,700,13,37
Reel,Technology,1267,8,38
Reel,Travel,663,15,39
Reel,Fitness,1702,26,40
Video,Comedy,272,3,41
Carousel,Travel,2019,27,42
Carousel,Photography,1837,18,43
Video,Comedy,72,15,44
Carousel,Photography,1939,30,45
Video,Music,874,23,46
Reel,Travel,1189,5,47
Carousel,Fitness,844,7,48
Photo,Technology,1867,0,49
Video,Beauty,802,27,50
Photo,Food,1968,21,51
Photo,Fashion,1241,2,52
Photo,Fitness,1859,9,53
Carousel,Travel,1972,30,54
Photo,Beauty,2094,5,55
Reel,Fitness,1666,18,56
Photo,Travel,1054,6,57
Video,Lifestyle,386,0,58
Video,Lifestyle,2084,10,59
Reel,Photography,1565,13,60
Carousel,Fitness,2137,6,61
Reel,Lifestyle,1742,9,62
Carousel,Travel,289,13,63
Video,Photography,928,27,64
Photo,Travel,1022,1,65
Photo,Photography,657,16,66
Reel,Fitness,1712,13,67
Carousel,Beauty,1175,10,68
Photo,Technology,124,20,69
Photo,Comedy,1024,10,70
Carousel,Beauty,111,18,71
Video,Music,1710,27,72
Carousel,Travel,49,10,73
Reel,Music,2097,29,74
Video,Beauty,1854,15,75
Photo,Photography,1904,3,76
Video,Comedy,1449,19,77
Photo,Comedy,187,5,78
Reel,Fashion,1364,8,79
Carousel,Comedy,1785,4,80
Photo,Technology,1421,13,81
Photo,Comedy,591,17,82
Video,Beauty,1374,19,83
Carousel,Fashion,900,17,84
Carousel,Beauty,1602,22,85
Carousel,Beauty,1033,13,86
Carousel,Food,619,29,87
Video,Fashion,1439,27,88
