,correlation
content_category_Beauty,0.01387141755686074
traffic_source_External,-0.0076868897014818905
content_category_Travel,-0.007391262663681255
traffic_source_Explore,0.005682743973103523
content_category_Technology,-0.0055508299385489445
content_category_Fitness,-0.005292039479556795
content_category_Food,-0.004847985008991914
content_category_Photography,0.0044933245064207325
traffic_source_Home Feed,0.004396946193737402
content_category_Lifestyle,0.0030759147113247473
traffic_source_Hashtags,-0.0022980572161132177
traffic_source_Profile,-0.0015548248021149758
traffic_source_Reels Feed,0.0015006315423420427
content_category_Fashion,0.0011790942228228167
content_category_Music,0.0007735045892315884
content_category_Comedy,-0.00025750053805715485
