post_id,upload_date,content_id,media_id,traffic_id,likes,comments,shares,saves,reach,impressions,followers_gained,engagement_rate,total_engagement,engagement_growth_rate,high_engagement_flag,avg_engagement_by_media,is_outlier,traffic_source
IG0000001,2024-11-30 09:25:22.954916,1,1,1,31627,7559,4530,6393,615036,1007750,899,4.97,50109,,0,115250.29181636726,0,Home Feed
IG0000002,2025-08-15 09:25:22.954916,2,2,2,63206,3490,1680,6809,1237071,1345900,805,5.59,75185,-0.0070419591586720065,0,114825.70437121722,0,Hashtags
IG0000003,2025-09-11 09:25:22.954916,3,1,3,94373,3727,1761,8367,1127470,1305369,758,8.29,108228,-0.07589373937921085,0,115250.29181636726,0,Reels Feed
IG0000004,2025-09-18 09:25:22.954916,4,1,4,172053,7222,2875,9290,764030,897874,402,21.32,191440,-0.07589373937921085,1,115250.29181636726,0,External
IG0000005,2025-03-21 09:25:22.954916,5,3,5,99646,2703,4444,9746,7004,495406,155,23.52,116539,0.08784211024389488,1,114632.7176658248,0,Profile
IG0000006,2025-05-06 09:25:22.954916,6,4,3,10500,7337,3601,5163,311157,381943,904,6.96,26601,0.03191992545539479,0,114984.38732394367,0,Reels Feed
IG0000007,2025-09-21 09:25:22.954916,7,4,6,193906,6326,4384,5581,277864,690698,701,30.43,210197,-0.07589373937921085,1,114984.38732394367,0,Explore
IG0000008,2025-01-06 09:25:22.954916,8,4,5,27317,3289,2352,11684,1185935,1592082,894,2.8,44642,0.040457964285091075,0,114984.38732394367,0,Profile
IG0000009,2025-10-13 09:25:22.954916,9,2,3,90827,6557,570,13750,906114,1110667,739,10.06,111704,0.09570235902554791,0,114825.70437121722,0,Reels Feed
IG0000010,2025-03-10 09:25:22.954916,10,2,2,67067,5988,3223,11741,1212435,1556489,611,5.65,88019,0.08784211024389488,0,114825.70437121722,0,Hashtags
IG0000011,2025-04-09 09:25:22.954916,11,3,1,177091,3529,1102,7257,624350,1095641,390,17.25,188979,-0.004242380999987194,1,114632.7176658248,0,Home Feed
IG0000012,2025-05-03 09:25:22.954916,12,1,2,75759,2422,2970,7671,1350241,1559059,240,5.7,88822,0.03191992545539479,0,115250.29181636726,0,Hashtags
